symbol,exchange,segment
LGEINDIA,NSE,MID_CAP
LICHSGFIN,NSE,MID_CAP
LICI,NSE,MID_CAP
LINDEINDIA,NSE,MID_CAP
LLOYDSME,NSE,MID_CAP
LODHA,NSE,LARGE_CAP
LT,NSE,LARGE_CAP
LTF,NSE,MID_CAP
LTFOODS,NSE,LARGE_CAP
LTM,NSE,LARGE_CAP
LTTS,NSE,MID_CAP
LUPIN,NSE,MID_CAP
M&M,NSE,LARGE_CAP
M&MFIN,NSE,MID_CAP
MAHABANK,NSE,MID_CAP
MANAPPURAM,NSE,LARGE_CAP
MANKIND,NSE,MID_CAP
MAPMYINDIA,NSE,LARGE_CAP
MARICO,NSE,MID_CAP
MARUTI,NSE,LARGE_CAP
MAXHEALTH,NSE,LARGE_CAP
MAZDOCK,NSE,LARGE_CAP
MCX,NSE,MID_CAP
MEDANTA,NSE,MID_CAP
MEESHO,NSE,LARGE_CAP
MFSL,NSE,MID_CAP
MGL,NSE,LARGE_CAP
MINDACORP,NSE,LARGE_CAP
MMTC,NSE,LARGE_CAP
MOTHERSON,NSE,LARGE_CAP
MOTILALOFS,NSE,MID_CAP
MPHASIS,NSE,MID_CAP
MRF,NSE,MID_CAP
MRPL,NSE,LARGE_CAP
MSUMI,NSE,LARGE_CAP
MUTHOOTFIN,NSE,LARGE_CAP
NAM-INDIA,NSE,MID_CAP
NATCOPHARM,NSE,LARGE_CAP
NATIONALUM,NSE,MID_CAP
NAUKRI,NSE,MID_CAP
NAVA,NSE,LARGE_CAP
NAVINFLUOR,NSE,LARGE_CAP
NBCC,NSE,LARGE_CAP
NCC,NSE,LARGE_CAP
NESTLEIND,NSE,LARGE_CAP
NETWEB,NSE,LARGE_CAP
NEULANDLAB,NSE,LARGE_CAP
NEWGEN,NSE,LARGE_CAP
NH,NSE,LARGE_CAP
NHPC,NSE,MID_CAP
NIACL,NSE,MID_CAP
NIVABUPA,NSE,LARGE_CAP
NLCINDIA,NSE,MID_CAP
NMDC,NSE,MID_CAP
NSLNISP,NSE,LARGE_CAP
NTPC,NSE,LARGE_CAP
NTPCGREEN,NSE,MID_CAP
NUVAMA,NSE,LARGE_CAP
NUVOCO,NSE,LARGE_CAP
NYKAA,NSE,MID_CAP
OBEROIRLTY,NSE,MID_CAP
OFSS,NSE,MID_CAP
OIL,NSE,MID_CAP
OLAELEC,NSE,LARGE_CAP
OLECTRA,NSE,LARGE_CAP
ONESOURCE,NSE,LARGE_CAP
ONGC,NSE,LARGE_CAP
PAGEIND,NSE,MID_CAP
PARADEEP,NSE,LARGE_CAP
PATANJALI,NSE,MID_CAP
PAYTM,NSE,MID_CAP
PCBL,NSE,LARGE_CAP
PERSISTENT,NSE,MID_CAP
PETRONET,NSE,MID_CAP
PFC,NSE,LARGE_CAP
PFIZER,NSE,LARGE_CAP
PGEL,NSE,LARGE_CAP
PHOENIXLTD,NSE,MID_CAP
PIDILITIND,NSE,LARGE_CAP
PIIND,NSE,MID_CAP
PINELABS,NSE,LARGE_CAP
PIRAMALFIN,NSE,LARGE_CAP
PNB,NSE,LARGE_CAP
PNBHOUSING,NSE,LARGE_CAP
POLICYBZR,NSE,MID_CAP
POLYCAB,NSE,MID_CAP
POLYMED,NSE,LARGE_CAP
POONAWALLA,NSE,LARGE_CAP
POWERGRID,NSE,LARGE_CAP
POWERINDIA,NSE,MID_CAP
PPLPHARMA,NSE,LARGE_CAP
PREMIERENE,NSE,MID_CAP
PRESTIGE,NSE,MID_CAP
PTCIL,NSE,LARGE_CAP
PVRINOX,NSE,LARGE_CAP
PWL,NSE,LARGE_CAP
RADICO,NSE,MID_CAP
RAILTEL,NSE,LARGE_CAP
RAINBOW,NSE,LARGE_CAP
RAMCOCEM,NSE,LARGE_CAP
RBLBANK,NSE,LARGE_CAP
RECLTD,NSE,LARGE_CAP
REDINGTON,NSE,LARGE_CAP
RELIANCE,NSE,LARGE_CAP
RHIM,NSE,LARGE_CAP
RITES,NSE,LARGE_CAP
RKFORGE,NSE,LARGE_CAP
RPOWER,NSE,LARGE_CAP
RRKABEL,NSE,LARGE_CAP
RVNL,NSE,MID_CAP
SAGILITY,NSE,LARGE_CAP
SAIL,NSE,MID_CAP
SAILIFE,NSE,LARGE_CAP
SAMMAANCAP,NSE,LARGE_CAP
SAPPHIRE,NSE,LARGE_CAP
SARDAEN,NSE,LARGE_CAP
SAREGAMA,NSE,LARGE_CAP
SBFC,NSE,LARGE_CAP
SBICARD,NSE,MID_CAP
SBILIFE,NSE,LARGE_CAP
SBIN,NSE,LARGE_CAP
SCHAEFFLER,NSE,MID_CAP
SCHNEIDER,NSE,LARGE_CAP
SCI,NSE,LARGE_CAP
SHREECEM,NSE,LARGE_CAP
SHRIRAMFIN,NSE,LARGE_CAP
SHYAMMETL,NSE,LARGE_CAP
SIEMENS,NSE,LARGE_CAP
SIGNATURE,NSE,LARGE_CAP
SJVN,NSE,MID_CAP
SOBHA,NSE,LARGE_CAP
SOLARINDS,NSE,LARGE_CAP
SONACOMS,NSE,LARGE_CAP
SONATSOFTW,NSE,LARGE_CAP
SPLPETRO,NSE,LARGE_CAP
SRF,NSE,MID_CAP
STARHEALTH,NSE,LARGE_CAP
SUMICHEM,NSE,LARGE_CAP
SUNDARMFIN,NSE,MID_CAP
SUNPHARMA,NSE,LARGE_CAP
SUNTV,NSE,LARGE_CAP
SUPREMEIND,NSE,MID_CAP
SUZLON,NSE,MID_CAP
SWANCORP,NSE,LARGE_CAP
SWIGGY,NSE,MID_CAP
SYNGENE,NSE,LARGE_CAP
SYRMA,NSE,LARGE_CAP
TARIL,NSE,LARGE_CAP
TATACAP,NSE,LARGE_CAP
TATACHEM,NSE,LARGE_CAP
TATACOMM,NSE,MID_CAP
TATACONSUM,NSE,LARGE_CAP
TATAELXSI,NSE,MID_CAP
TATAINVEST,NSE,MID_CAP
TATAPOWER,NSE,LARGE_CAP
TATASTEEL,NSE,LARGE_CAP
TATATECH,NSE,LARGE_CAP
TBOTEK,NSE,LARGE_CAP
TCS,NSE,LARGE_CAP
TECHM,NSE,LARGE_CAP
TECHNOE,NSE,LARGE_CAP
TEGA,NSE,LARGE_CAP
TEJASNET,NSE,LARGE_CAP
